,n,Epochs_1,lr1,Epochs_2,lr2,emb_size,weight_decay,train_loss,val_loss,val_acc,pos_results,id_400,model
0,1.2,8.0,0.12,0.0,0.012,45.0,0.0,0.04364120215,0.04676418751,0.9983664902,0.413625,1384.0,
1,1.2,8.0,0.12,0.0,0.012,45.0,1e-06,0.2550398707,0.2602669001,0.9685265021,0.420315,1427.0,
2,1.2,8.0,0.12,0.0,0.012,45.0,1e-05,0.4431317151,0.4426516891,0.9175169928,0.452113,1445.0,
3,1.2,8.0,0.12,0.0,0.012,50.0,0.0,0.04596972838,0.04960070178,0.9983622421,0.417342,1396.0,
4,1.2,8.0,0.12,0.0,0.012,50.0,1e-06,0.2556026578,0.2622472942,0.9676329462,0.420946,1434.0,
5,1.2,8.0,0.12,0.0,0.012,50.0,1e-05,0.442637831,0.4426275492,0.9174144043,0.451568,1445.0,
6,1.2,8.0,0.12,0.0,0.012,55.0,0.0,0.05148249865,0.05001549423,0.9983089813,0.415687,1394.0,
7,1.2,8.0,0.12,0.0,0.012,55.0,1e-06,0.2588221431,0.2632671893,0.9672094676,0.421859,1438.0,
8,1.2,8.0,0.12,0.0,0.012,55.0,1e-05,0.4431663454,0.4425518215,0.9179449822,0.452169,1445.0,
9,1.2,8.0,0.12,0.0,0.012,60.0,0.0,0.05046901852,0.05263260379,0.9982627155,0.419185,1386.0,
10,1.2,8.0,0.12,0.0,0.012,60.0,1e-06,0.2616058588,0.263230294,0.9675797387,0.421661,1434.0,
11,1.2,8.0,0.12,0.0,0.012,60.0,1e-05,0.442409724,0.4433688521,0.9172866091,0.451795,1445.0,
12,1.2,8.0,0.12,0.0,0.012,65.0,0.0,0.05414129421,0.05342274159,0.9982366226,0.417074,1398.0,
13,1.2,8.0,0.12,0.0,0.012,65.0,1e-06,0.2600279748,0.2660224438,0.9661260671,0.422322,1431.0,
14,1.2,8.0,0.12,0.0,0.012,65.0,1e-05,0.440620631,0.4437403083,0.9167475567,0.451383,1445.0,
15,1.2,8.0,0.12,0.0,0.011,45.0,0.0,0.04848018661,0.0464355126,0.9983481046,0.417969,1378.0,
16,1.2,8.0,0.12,0.0,0.011,45.0,1e-06,0.2563829124,0.2605799437,0.9683122028,0.42042,1430.0,
17,1.2,8.0,0.12,0.0,0.011,45.0,1e-05,0.4426306784,0.4422622025,0.9170496276,0.451775,1445.0,
18,1.2,8.0,0.12,0.0,0.011,50.0,0.0,0.04449198022,0.04782743752,0.9983447443,0.416995,1393.0,
19,1.2,8.0,0.12,0.0,0.011,50.0,1e-06,0.2570361495,0.2605032623,0.9684278421,0.420734,1433.0,
20,1.2,8.0,0.12,0.0,0.011,50.0,1e-05,0.442058146,0.4436601698,0.9166584581,0.452108,1445.0,
21,1.2,8.0,0.12,0.0,0.011,55.0,0.0,0.04806157202,0.05131716281,0.9982831417,0.41448,1379.0,
22,1.2,8.0,0.12,0.0,0.011,55.0,1e-06,0.2580263019,0.2619313896,0.9679142007,0.42196,1437.0,
23,1.2,8.0,0.12,0.0,0.011,55.0,1e-05,0.444642812,0.4417234957,0.9179908381,0.45207,1445.0,
24,1.2,8.0,0.12,1.0,0.012,45.0,1e-06,0.2078212649,0.2084633112,0.9882923225,0.4245613439,1443.0,
25,1.2,8.0,0.12,1.0,0.012,55.0,1e-06,0.2093444914,0.2110564709,0.9876526732,0.4259460994,1443.0,
26,1.2,8.0,0.12,1.0,0.012,65.0,1e-06,0.2108909637,0.2128676474,0.987237485,0.4267243484,1444.0,
27,1.2,8.0,0.12,1.0,0.01,45.0,1e-06,0.2018496394,0.202949509,0.9894356656,0.4247397643,1438.0,
28,1.2,8.0,0.12,1.0,0.01,55.0,1e-06,0.2028076053,0.2044247985,0.9891801285,0.4250653457,1443.0,
29,1.2,8.0,0.12,1.0,0.01,65.0,1e-06,0.2030890435,0.2057807744,0.9887030145,0.4259593734,1442.0,
30,1.2,8.0,0.12,1.0,0.008,45.0,1e-06,0.1966495216,0.1972562373,0.9905023537,0.4237147584,1438.0,
31,1.2,8.0,0.12,1.0,0.008,55.0,1e-06,0.196913898,0.198814407,0.9899938684,0.4247969162,1436.0,
32,1.2,8.0,0.12,1.0,0.008,65.0,1e-06,0.1972328722,0.2001066953,0.9899516342,0.4256460008,1440.0,
33,1.2,8.0,0.12,2.0,0.012,45.0,1e-06,0.1921928227,0.1950502098,0.9919408864,0.4250332259,1442.0,
34,1.2,8.0,0.12,2.0,0.012,55.0,1e-06,0.1955712736,0.1960720718,0.9918811891,0.4255776233,1444.0,
35,1.2,8.0,0.12,2.0,0.012,65.0,1e-06,0.1964672506,0.1977459788,0.9915453275,0.4262738112,1444.0,
36,1.2,8.0,0.12,2.0,0.01,45.0,1e-06,0.1896410733,0.1919426918,0.9926280224,0.4238167305,1441.0,
37,1.2,8.0,0.12,2.0,0.01,55.0,1e-06,0.1926262081,0.1921698749,0.9925599099,0.4255803683,1444.0,
38,1.2,8.0,0.12,2.0,0.01,65.0,1e-06,0.1927493066,0.1936074793,0.9924366927,0.4262809808,1442.0,
39,1.2,8.0,0.12,2.0,0.008,45.0,1e-06,0.1870957762,0.1879119128,0.9931330264,0.4242722659,1441.0,
40,1.2,8.0,0.12,2.0,0.008,55.0,1e-06,0.1879665554,0.1880088598,0.9932225853,0.4246854802,1443.0,
41,1.2,8.0,0.12,2.0,0.008,65.0,1e-06,0.1890210211,0.189524591,0.9930428096,0.4254418517,1442.0,
42,1.2,8.0,0.12,3.0,0.012,45.0,1e-06,0.1750388443,0.2123480141,0.9876897352,0.4236878417,1444.0,
43,1.2,8.0,0.12,3.0,0.012,55.0,1e-06,0.1749107093,0.2140302062,0.9871546971,0.4246252966,1445.0,
44,1.2,8.0,0.12,1.0,0.012,45.0,1e-06,0.20852312445640564,0.20886139571666718,0.9881082556360457,0.425048138691873,1443.0,44.0
45,1.2,8.0,0.12,1.0,0.012,55.0,1e-06,0.21026992797851562,0.21042698621749878,0.9878223742904061,0.4257356821191185,1439.0,45.0
46,1.2,8.0,0.12,1.0,0.012,65.0,1e-06,0.21085935831069946,0.21279440820217133,0.9871739001414503,0.4268484028606264,1443.0,46.0
47,1.2,8.0,0.12,1.0,0.01,45.0,1e-06,0.20092923939228058,0.20244397222995758,0.9895661511745832,0.42378981377086145,1443.0,47.0
48,1.2,8.0,0.12,1.0,0.01,55.0,1e-06,0.2029748111963272,0.20437753200531006,0.9890004947886328,0.4246416842560667,1442.0,48.0
49,1.2,8.0,0.12,1.0,0.01,65.0,1e-06,0.20391269028186798,0.20648787915706635,0.9886994182226542,0.4259272945973229,1442.0,49.0
50,1.2,8.0,0.12,1.0,0.008,45.0,1e-06,0.1958160400390625,0.1960103064775467,0.9907975105166826,0.4223544613710555,1440.0,50.0
51,1.2,8.0,0.12,1.0,0.008,55.0,1e-06,0.19643422961235046,0.1981416493654251,0.9902742429158831,0.42466421726077325,1443.0,51.0
52,1.2,8.0,0.12,1.0,0.008,65.0,1e-06,0.19869840145111084,0.1993171125650406,0.9899521377684845,0.4257110596903392,1441.0,52.0
53,1.2,8.0,0.12,2.0,0.012,45.0,1e-06,0.19487129151821136,0.19436055421829224,0.9922344606762648,0.4242799680768777,1443.0,53.0
54,1.2,8.0,0.12,2.0,0.012,55.0,1e-06,0.1936604231595993,0.19545172154903412,0.991926973071963,0.42560949729276193,1445.0,54.0
55,1.2,8.0,0.12,2.0,0.012,65.0,1e-06,0.1968882530927658,0.19727542996406555,0.991670481212336,0.4264545669074557,1444.0,55.0
56,1.2,8.0,0.12,2.0,0.01,45.0,1e-06,0.19040550291538239,0.19208501279354095,0.992633098819077,0.42459563498826647,1444.0,56.0
57,1.2,8.0,0.12,2.0,0.01,55.0,1e-06,0.19200743734836578,0.19315798580646515,0.9923212214074995,0.42543013457529794,1443.0,57.0
58,1.2,8.0,0.12,2.0,0.01,65.0,1e-06,0.19360727071762085,0.19337813556194305,0.9923739623930566,0.4257420323295358,1439.0,58.0
59,1.2,8.0,0.12,2.0,0.008,45.0,1e-06,0.18763527274131775,0.18830929696559906,0.9931193979075086,0.4242609993838247,1444.0,59.0
60,1.2,8.0,0.12,2.0,0.008,55.0,1e-06,0.1884276419878006,0.18852125108242035,0.9931458536433123,0.4247442708811306,1443.0,60.0
61,1.2,8.0,0.12,2.0,0.008,65.0,1e-06,0.18797482550144196,0.18942229449748993,0.9929508947463002,0.42512622579545606,1444.0,61.0
62,1.2,8.0,0.12,3.0,0.012,45.0,1e-06,0.17559555172920227,0.2120901346206665,0.9877765475299501,0.42308436684714923,1444.0,62.0
63,1.2,8.0,0.12,3.0,0.012,55.0,1e-06,0.17446686327457428,0.21402660012245178,0.9871418784326612,0.4239199316307668,1445.0,63.0
64,1.2,8.0,0.12,3.0,0.012,65.0,1e-06,0.17455002665519714,0.21702013909816742,0.9864286121003858,0.42444544226962255,1445.0,64.0
65,1.2,8.0,0.12,3.0,0.01,45.0,1e-06,0.17543381452560425,0.20788069069385529,0.9891219691864006,0.42307756597663776,1444.0,65.0
66,1.2,8.0,0.12,3.0,0.01,55.0,1e-06,0.17367473244667053,0.20869144797325134,0.9888888389556874,0.42414288547006307,1445.0,66.0
67,1.2,8.0,0.12,3.0,0.01,65.0,1e-06,0.17622502148151398,0.21120405197143555,0.9882978314757428,0.4252721577277554,1445.0,67.0
